fertilizerid,Price,name of fertilizer,manufacturedate,expirydate,,ModifiedDate
NO6034318860278,67 822,Anhydrous Ammonia,07-27-2021,04/22/2022,,06/16/2020
LU744388398764786734,41 965,Aqua Ammonia,01/08/2022,03/26/2022,,12/01/2020
IL622786216445251297137,79 352,Ammonium Nitrate,06-21-2021,04/13/2022,,09/26/2020
HU73530772784633198693907654,93 661,Ammonium Nitrate Solution,07-29-2021,04/09/2022,,10/19/2020
MT93HZCQ15847141393282243268486,51 231,Amm Nitrate-Limestone Mixtures,01-20-2021,03/28/2022,,07/20/2020
ES5071462808326222586356,62 696,Ammonium Nitrate - Sulfate,09-30-2021,02/26/2022,,06/13/2020
BG44MNMM33864028879242,37 332,Ammonium Polysulfide,04-28-2021,06/23/2022,,12/15/2020
EE034518283401745714,85 982,Ammonium Sulfate,04-28-2021,12/10/2022,,06/29/2020
IS171916556906574422538815,1 040,Ammonium Sulfate Solution,04-27-2021,12/01/2022,,11/06/2020
IE08OFCR35332787214285,82 632,Ammonium Sulfate - Nitrate,01-13-2021,09/01/2022,,11/11/2020
IT341SMIJI45392576391648131,28 250,Ammonium Sulfate - Urea,08/10/2021,02/01/2022,,10/28/2020
RS54478177128153438250,3 640,Ammonium Thiosulfate,10-24-2021,12/18/2022,,10/19/2020
DE02807725915261727582,32 639,Calcium Ammonium Nitrate,09-29-2021,12/24/2022,,08/08/2020
IL175142853591415592811,66 074,Calcium Cyanamide,07-24-2021,02/18/2022,,09/21/2020
NL65ACGW3711597491,48 032,Calcium Nitrate,09-27-2021,04/10/2022,,08/01/2020
SK5846425637067253690242,4 307,Calcium Nitrate - Urea,04-23-2021,06/29/2022,,08/08/2020
LT757119267356708661,48 560,Nitric Acid,04-28-2021,04/02/2022,,09/07/2020
IS033575848530277787917336,35 735,Nitrogen Solution < 28%,10-17-2021,03/28/2022,,09/03/2020
IT644WWHUI41551393125617462,54 778,Sodium Nitrate,01-24-2022,02/15/2022,,07/27/2020
PL08196273679325447428092284,82 014,Sulfur Coated Urea,09-26-2021,07/05/2022,,11/02/2020
SI43571181853141544,64 113,Urea,06-26-2021,04/29/2022,,06/21/2020
PK3214772829328054455226,22 200,Urea Solution,05/03/2021,09/28/2022,,08/17/2020
LB94498778723178182164225163,27 487,Urea - Formaldehyde,06-16-2021,05/08/2022,,12/22/2020
